player_id,name,season,goals,assists,minutes,age,position,appearance_count,stats_through,valuation_date,actual_eur
413039,Bryan Mbeumo,2021,4.0,7.0,2916.0,22.856047694340063,Attack,35,2022-05-22,2022-06-15,22000000
433177,Bukayo Saka,2021,11.0,7.0,2994.0,20.775238369028795,Attack,38,2022-05-22,2022-06-15,65000000
392768,Callum Hudson-Odoi,2021,1.0,3.0,966.0,21.602086285139325,Attack,15,2022-01-23,2022-06-15,25000000
123682,Callum Wilson,2021,8.0,0.0,1389.0,30.297678939334826,Attack,18,2022-05-22,2022-06-15,18000000
215118,Calum Chambers,2021,1.0,0.0,1001.0,27.400973325940985,Defender,13,2022-05-22,2022-06-15,10000000
195633,Charlie Taylor,2021,0.0,3.0,2730.0,28.739809852358363,Defender,31,2022-05-22,2022-06-15,3000000
66934,Cheikhou Kouyaté,2021,0.0,1.0,1978.0,32.48252873091165,Midfield,27,2022-05-22,2022-06-15,4000000
108725,Chris Wood,2021,5.0,0.0,2707.0,30.52218731390788,Attack,34,2022-05-22,2022-06-15,10000000
50201,Christian Benteke,2021,4.0,1.0,1137.0,31.53247499948664,Attack,25,2022-05-19,2022-06-15,6000000
69633,Christian Eriksen,2021,1.0,4.0,938.0,30.333271730425675,Midfield,11,2022-05-22,2022-06-15,20000000
81512,Christian Kabasele,2021,0.0,0.0,1190.0,31.305228717906594,Defender,16,2022-05-22,2022-06-15,3000000
148367,Christian Nørgaard,2021,3.0,4.0,3059.0,28.266151940149353,Midfield,35,2022-05-15,2022-06-15,14000000
315779,Christian Pulisic,2021,6.0,2.0,1286.0,23.74039165759735,Attack,22,2022-05-19,2022-06-15,42000000
346779,Ché Adams,2021,7.0,3.0,2042.0,25.92250354216719,Attack,30,2022-05-22,2022-06-15,18000000
98240,Ciaran Clark,2021,0.0,1.0,1014.0,32.71798873351266,Defender,13,2022-01-22,2022-06-15,1800000
214666,Connor Roberts,2021,1.0,1.0,1690.0,26.72744820222181,Defender,21,2022-05-22,2022-06-15,2500000
128901,Conor Coady,2021,4.0,0.0,3363.0,29.30108078879101,Defender,38,2022-05-22,2022-06-15,25000000
59606,Craig Cathcart,2021,0.0,1.0,2396.0,33.353183159134,Defender,31,2022-05-15,2022-06-15,1200000
121477,Craig Dawson,2021,2.0,2.0,2754.0,32.11017337796122,Defender,34,2022-05-22,2022-06-15,3000000
355915,Cristian Romero,2021,1.0,0.0,1846.0,24.134650266603693,Defender,22,2022-05-07,2022-06-15,48000000
8198,Cristiano Ronaldo,2021,18.0,3.0,2459.0,37.3560032033512,Attack,30,2022-05-07,2022-06-15,30000000
459463,Cucho Hernández,2021,5.0,2.0,1141.0,23.15447955810181,Attack,25,2022-05-22,2022-06-15,9000000
